epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,265.43,0.93842,1.06053,1.24105,0,0,0,0,0,0,0,0.0013565,0.0013565,0.0013565
15,284.865,0.88635,0.97356,1.19631,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
16,304.889,0.86606,0.93708,1.18388,0,0,0,0,0,0,0,0.0012575,0.0012575,0.0012575
17,324.977,0.86576,0.93917,1.18665,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
18,344.834,0.83862,0.95105,1.1827,0,0,0,0,0,0,0,0.0011585,0.0011585,0.0011585
19,364.376,0.81702,0.88732,1.16639,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
20,384.179,0.80924,0.91226,1.16049,0,0,0,0,0,0,0,0.0010595,0.0010595,0.0010595
21,403.796,0.77958,0.88594,1.14488,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
22,423.264,0.75,0.80036,1.11841,0,0,0,0,0,0,0,0.0009605,0.0009605,0.0009605
23,442.722,0.74943,0.8079,1.1191,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
24,461.986,0.72541,0.78214,1.11428,0,0,0,0,0,0,0,0.0008615,0.0008615,0.0008615
25,481.644,0.69308,0.75792,1.09049,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
26,501.53,0.70075,0.76247,1.09706,0,0,0,0,0,0,0,0.0007625,0.0007625,0.0007625
27,521.311,0.67854,0.73357,1.08657,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
28,541.049,0.65362,0.69324,1.07141,0,0,0,0,0,0,0,0.0006635,0.0006635,0.0006635
29,560.903,0.6292,0.67636,1.05557,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
30,580.68,0.61889,0.66892,1.05574,0,0,0,0,0,0,0,0.0005645,0.0005645,0.0005645
31,600.961,1.5866,2.32984,1.83033,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
32,620.36,1.55949,2.13411,1.81406,0,0,0,0,0,0,0,0.0004655,0.0004655,0.0004655
33,639.366,1.5024,2.17646,1.74141,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
34,658.397,1.4842,2.08564,1.73089,0,0,0,0,0,0,0,0.0003665,0.0003665,0.0003665
35,677.485,1.46776,1.97581,1.71456,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
36,696.383,1.46631,1.85939,1.69532,0,0,0,0,0,0,0,0.0002675,0.0002675,0.0002675
37,715.805,1.37645,1.8159,1.61649,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
38,734.79,1.36627,1.87889,1.61754,0,0,0,0,0,0,0,0.0001685,0.0001685,0.0001685
39,753.793,1.32686,2.04526,1.57115,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
40,776.504,1.2948,1.78454,1.53582,0,0,0,0,0,42.7925,0,6.95e-05,6.95e-05,6.95e-05
