epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,350.516,0.77769,0.85442,1.13383,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
22,367.007,0.77418,0.81776,1.12576,0,0,0,0,0,0,0,0.0015842,0.0015842,0.0015842
23,383.519,0.77957,0.84311,1.13423,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
24,400.021,0.74468,0.79162,1.11189,0,0,0,0,0,0,0,0.0015446,0.0015446,0.0015446
25,416.537,0.73698,0.78407,1.10876,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
26,433.077,0.73335,0.77135,1.10507,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
27,449.564,0.69904,0.7357,1.08932,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
28,466.067,0.71334,0.75694,1.09805,0,0,0,0,0,0,0,0.0014654,0.0014654,0.0014654
29,482.602,0.69225,0.73595,1.08306,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
30,499.117,0.66747,0.69756,1.07425,0,0,0,0,0,0,0,0.0014258,0.0014258,0.0014258
31,515.62,0.67018,0.72374,1.07562,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
32,532.09,0.67372,0.73061,1.07655,0,0,0,0,0,0,0,0.0013862,0.0013862,0.0013862
33,548.582,0.6531,0.68145,1.06821,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
34,565.07,0.64268,0.70198,1.05685,0,0,0,0,0,0,0,0.0013466,0.0013466,0.0013466
35,581.56,0.63705,0.67424,1.05738,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
36,598.119,0.6444,0.6619,1.06098,0,0,0,0,0,0,0,0.001307,0.001307,0.001307
37,614.624,0.62916,0.66659,1.05408,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
38,631.195,0.61785,0.66033,1.0531,0,0,0,0,0,0,0,0.0012674,0.0012674,0.0012674
39,647.702,0.62009,0.65854,1.05285,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
40,664.242,0.59167,0.62818,1.03317,0,0,0,0,0,0,0,0.0012278,0.0012278,0.0012278
41,680.78,0.57806,0.60961,1.02135,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
42,697.279,0.58275,0.59943,1.02443,0,0,0,0,0,0,0,0.0011882,0.0011882,0.0011882
43,713.775,0.58867,0.61322,1.03105,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
44,730.258,0.56937,0.58809,1.01845,0,0,0,0,0,0,0,0.0011486,0.0011486,0.0011486
45,746.775,0.57431,0.5927,1.01991,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
46,763.619,0.56866,0.59637,1.02184,0,0,0,0,0,0,0,0.001109,0.001109,0.001109
47,780.734,0.56227,0.58835,1.02091,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
48,797.58,0.55765,0.57753,1.01988,0,0,0,0,0,0,0,0.0010694,0.0010694,0.0010694
49,814.335,0.55194,0.5683,1.00973,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
50,831.603,0.5379,0.55286,1.00135,0,0,0,0,0,0,0,0.0010298,0.0010298,0.0010298
51,848.649,0.55523,0.59138,1.00894,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
52,866.089,0.53693,0.56042,1.00009,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,883.181,0.54973,0.58555,1.01335,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,900.068,0.52125,0.54817,1.00232,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,916.436,0.50927,0.53171,0.98813,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,932.768,0.50295,0.52009,0.9814,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,949.142,0.51989,0.54945,0.99519,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,965.473,0.50725,0.53686,0.98989,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,982.119,0.51496,0.53769,0.99694,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,999.129,0.49383,0.52014,0.99072,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,1016.15,0.47797,0.50968,0.97936,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,1032.73,0.50299,0.53256,0.99256,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,1049.05,0.46928,0.49079,0.97153,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,1065.4,0.48556,0.50833,0.98295,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,1081.77,0.46574,0.48125,0.96632,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,1098.1,0.47991,0.49519,0.98477,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,1114.45,0.46974,0.48594,0.97743,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,1130.78,0.48052,0.49847,0.98305,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,1147.12,0.47631,0.49554,0.97976,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,1163.9,0.44426,0.46892,0.96602,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,1180.94,0.45534,0.48056,0.96995,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,1197.94,0.45238,0.47671,0.97184,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,1214.99,0.45064,0.4599,0.95681,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
